nom,description,coefficient,niveau
"Projet Santé","Application de suivi médical.",3,4eme
"Projet Écologie","Dashboard de données environnementales.",3,4eme
"Projet Éducation","Plateforme e-learning personnalisée.",3,3eme
"Projet Social","Réseau social thématique.",3,3eme
"Projet Open Data","API publique avec données ouvertes.",3,4eme
"Projet Accessibilité","Application conforme WCAG.",2,3eme
"Projet Green IT","Optimisation énergétique d'une app.",2,4eme
"Projet Low-Code","Solution métier sans code.",2,3eme
"Projet No-Code","Automatisation de processus.",1,2eme
"Projet Startup","MVP validé par utilisateurs.",5,5eme
"Projet Recherche","Article scientifique court.",3,5eme
"Projet Innovation","Brevet ou concept original.",3,5eme
"Projet Open Source","Contribution significative à un repo.",2,3eme
"Projet Mentoré","Accompagnement d'un junior.",1,5eme
"Projet Interdisciplinaire","IA + Art / Design / Musique.",3,4eme
"Projet International","Collaboration avec étudiants étrangers.",2,4eme
"Projet Humanitaire","Solution tech pour une ONG.",2,3eme
"Projet Culturel","Application patrimoniale ou muséale.",2,3eme
"Projet Sport","Analyse de performance sportive.",2,3eme
"Projet Tourisme","Application de voyage intelligente.",2,3eme
"Projet Immobilier","Plateforme de visualisation 3D.",2,4eme
"Projet Automobile","Système embarqué simulé.",2,4eme
"Projet Aéronautique","Simulation de vol basique.",2,5eme
"Projet Spatial","Analyse de données satellite.",2,5eme
"Projet Énergie","Prédiction de consommation.",2,4eme
"Projet Agriculture","IoT pour agriculture de précision.",2,4eme
"Projet Alimentation","Traçabilité alimentaire via blockchain.",2,4eme
"Projet Mode","IA pour design de vêtements.",2,4eme
"Projet Luxe","Expérience client digitale.",2,4eme
"Projet Média","Plateforme de streaming personnalisé.",2,4eme
"Projet Journalisme","Outil d'analyse de fake news.",2,4eme
"Projet Politique","Visualisation de données électorales.",2,4eme
"Projet Éthique","Audit IA d'une entreprise fictive.",2,5eme
"Projet Inclusion","Application pour malvoyants.",2,3eme
"Projet Seniors","Interface adaptée aux personnes âgées.",2,2eme
"Projet Enfants","Jeu éducatif interactif.",2,1er
"Projet Animaux","Application de suivi vétérinaire.",1,1er
"Projet Végétal","IA pour reconnaissance de plantes.",1,2eme
"Projet Océan","Suivi de la pollution marine.",1,3eme
"Projet Climat","Modélisation locale du changement.",1,4eme
"Projet Forêt","Cartographie et suivi forestier.",1,4eme
"Projet Montagne","Application de sécurité en randonnée.",1,3eme
"Projet Ville","Smart city dashboard.",2,4eme
"Projet Transport","Optimisation des trajets.",2,4eme
"Projet Vélo","Application de vélopartage.",1,2eme
"Projet Voiture","Système d'aide à la conduite.",2,4eme
"Projet Train","Prédiction de retards ferroviaires.",1,3eme
"Projet Avion","Optimisation de routes aériennes.",2,5eme
"Projet Bateau","Suivi de flotte maritime.",1,3eme
"Projet Drone","Pilotage autonome basique.",2,4eme
"Projet Satellite","Réception de données open.",1,5eme
"Projet Télescope","Traitement d'images astronomiques.",1,5eme
"Projet Particules","Simulation basique en physique.",1,5eme
"Projet Chimie","Modélisation moléculaire simple.",1,5eme
"Projet Biologie","Analyse de génomes open data.",1,4eme
"Projet Médecine","Prédiction de maladies.",2,5eme
"Projet Psychologie","Application de thérapie digitale.",1,4eme
"Projet Sociologie","Analyse de réseaux sociaux.",1,3eme
"Projet Économie","Modèle prédictif macro.",1,4eme
"Projet Droit","Outil d'analyse de contrats.",1,4eme
"Projet Philosophie","IA et éthique (essai).",1,5eme
"Projet Art","Génération d'œuvres par IA.",1,4eme
"Projet Musique","Composition assistée par IA.",1,4eme
"Projet Danse","Capture de mouvement.",1,3eme
"Projet Théâtre","Application de mise en scène.",1,2eme
"Projet Cinéma","Montage automatique basique.",1,3eme
"Projet Photo","Retouche IA avancée.",1,3eme
"Projet Design","Générateur de logos IA.",1,3eme
"Projet Architecture","Maquette 3D générative.",1,4eme
"Projet Urbanisme","Simulation de quartier.",1,4eme
"Projet Paysage","Conception de jardins virtuels.",1,3eme
"Projet Histoire","Reconstitution 3D historique.",1,3eme
"Projet Archéologie","Scan 3D de sites.",1,5eme
"Projet Langues","Traducteur neuronal local.",1,3eme
"Projet Journal","Générateur d'articles.",1,3eme
"Projet Radio","Podcast synthétique.",1,2eme
"Projet TV","Générateur de scripts.",1,3eme
"Projet Jeux de Société","IA adversaire.",1,2eme
"Projet Échecs","Moteur d'échecs simple.",1,3eme
"Projet Go","IA pour jeu de Go basique.",1,5eme
"Projet Poker","Bot de poker probabiliste.",1,4eme
"Projet Tarot","IA prédictive (fun).",1,1er
"Projet Magie","Application de tours digitaux.",1,1er
"Projet Cuisine","Générateur de recettes.",1,2eme
"Projet Vin","IA sommelier.",1,3eme
"Projet Mode","Conseiller styliste IA.",1,3eme
"Projet Beauté","Diagnostic peau IA.",1,2eme
"Projet Sport","Coach virtuel.",1,2eme
"Projet Yoga","Suivi de postures.",1,1er
"Projet Méditation","Guide audio IA.",1,1er
"Projet Sommeil","Analyse de cycles.",1,1er
"Projet Rêves","Journal de rêves IA.",1,1er
"Projet Émotions","Détecteur d'humeur.",1,1er
"Projet Bonheur","Suivi du bien-être.",1,1er
"Projet Amitié","Matching social IA.",1,1er
"Projet Amour","Conseiller relationnel.",1,1er
"Projet Famille","Arbre généalogique IA.",1,1er
"Projet Animaux","Traducteur aboiements (fun).",1,1er
"Projet Plantes","Conseiller jardinage IA.",1,1er
"Projet Étoiles","Constellation interactive.",1,1er
"Projet Univers","Simulation cosmologique.",1,5eme
"Projet Temps","Prédiction météo locale.",1,2eme
"Projet Fin","Projet de fin d'études.",10,5eme
